services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method,booking_datetime,service_type_clean,source_clean,destination_clean,payment_method_clean,is_completed,is_cancelled,booking_date,hour,day_of_week,day_of_week_num,is_weekend,month,month_name,week_of_year,time_period,route,distance_bucket,duration_bucket,fare_bucket,fare_per_km
auto,2024-07-03,01:01:29.542646,completed,Rajarajeshwari Nagar Bridge,ITI Layout Close,11,RD0654632158879742,9.52,306.79,44.68,351.47,GPay,2024-07-03 01:01:29.542646,auto,rajarajeshwari nagar bridge,iti layout close,gpay,1,0,2024-07-03,1,Wednesday,2,False,7,July,27,Late Night,rajarajeshwari nagar bridge → iti layout close,Long (7–15 km),Short (≤15 min),Medium-Low Fare,36.919117647058826
cab economy,2024-07-08,01:16:16.542646,completed,Kudlu Gate Fields,Subramanyapura Pass,117,RD2239177732142431,37.93,853.42,39.57,892.99,GPay,2024-07-08 01:16:16.542646,cab economy,kudlu gate fields,subramanyapura pass,gpay,1,0,2024-07-08,1,Monday,0,False,7,July,28,Late Night,kudlu gate fields → subramanyapura pass,Very Long (>15 km),Very Long (>60 min),High Fare,23.54310572106512
auto,2024-07-01,07:18:36.542646,completed,Byatarayanapura Plaza,Koramangala 6th Block Ridge,46,RD1117035760652729,21.6,907.37,20.55,927.92,GPay,2024-07-01 07:18:36.542646,auto,byatarayanapura plaza,koramangala 6th block ridge,gpay,1,0,2024-07-01,7,Monday,0,False,7,July,27,Morning Peak,byatarayanapura plaza → koramangala 6th block ridge,Very Long (>15 km),Long (30–60 min),High Fare,42.959259259259255
bike,2024-06-21,06:23:04.542646,completed,Whitefield Hills,MG Road Hills,49,RD4226811079858075,12.8,131.29,29.98,161.26999999999998,GPay,2024-06-21 06:23:04.542646,bike,whitefield hills,mg road hills,gpay,1,0,2024-06-21,6,Friday,4,False,6,June,25,Morning Peak,whitefield hills → mg road hills,Long (7–15 km),Long (30–60 min),Low Fare,12.599218749999999
auto,2024-08-03,08:46:32.542646,completed,Koramangala 4th Block Place,Jakkasandra Landing,95,RD1382587140891268,21.43,70.55,45.91,116.46,GPay,2024-08-03 08:46:32.542646,auto,koramangala 4th block place,jakkasandra landing,gpay,1,0,2024-08-03,8,Saturday,5,True,8,August,31,Morning Peak,koramangala 4th block place → jakkasandra landing,Very Long (>15 km),Very Long (>60 min),Low Fare,5.434437704153056
bike,2024-06-29,01:00:58.542646,completed,Balagere 1st Stage,Sonnenahalli Lane,105,RD4382177005818484,29.09,221.09,27.5,248.59,QR scan,2024-06-29 01:00:58.542646,bike,balagere 1st stage,sonnenahalli lane,qr scan,1,0,2024-06-29,1,Saturday,5,True,6,June,26,Late Night,balagere 1st stage → sonnenahalli lane,Very Long (>15 km),Very Long (>60 min),Low Fare,8.545548298384325
parcel,2024-07-02,04:10:03.542646,completed,Kothaguda Vista,Bagalur Lane,71,RD7958326265710860,5.94,707.21,1.91,709.12,Paytm,2024-07-02 04:10:03.542646,parcel,kothaguda vista,bagalur lane,paytm,1,0,2024-07-02,4,Tuesday,1,False,7,July,27,Late Night,kothaguda vista → bagalur lane,Medium (3–7 km),Very Long (>60 min),Medium-High Fare,119.38047138047138
cab economy,2024-06-28,01:18:09.542646,completed,Jakkur Meadows,Rajarajeshwari Nagar Pass,47,RD1055432783395596,28.64,484.33,34.22,518.55,Paytm,2024-06-28 01:18:09.542646,cab economy,jakkur meadows,rajarajeshwari nagar pass,paytm,1,0,2024-06-28,1,Friday,4,False,6,June,26,Late Night,jakkur meadows → rajarajeshwari nagar pass,Very Long (>15 km),Long (30–60 min),Medium-Low Fare,18.10579608938547
cab economy,2024-07-20,12:24:50.542646,cancelled,Vidyaranyapura Summit,Agara Mews,48,RD8925634951822521,7.05,,,,,2024-07-20 12:24:50.542646,cab economy,vidyaranyapura summit,agara mews,,0,1,2024-07-20,12,Saturday,5,True,7,July,29,Daytime,vidyaranyapura summit → agara mews,Long (7–15 km),Long (30–60 min),,
bike,2024-08-05,16:43:22.542646,completed,Kaval Byrasandra Run,Harohalli Fields,60,RD3943555672355131,45.35,731.36,39.42,770.78,QR scan,2024-08-05 16:43:22.542646,bike,kaval byrasandra run,harohalli fields,qr scan,1,0,2024-08-05,16,Monday,0,False,8,August,32,Evening Peak,kaval byrasandra run → harohalli fields,Very Long (>15 km),Long (30–60 min),Medium-High Fare,16.996251378169788
auto,2024-07-06,11:05:31.542646,cancelled,Chikkagubbi Village,Horamavu Banaswadi Alcove,118,RD7321545592072979,9.25,,,,,2024-07-06 11:05:31.542646,auto,chikkagubbi village,horamavu banaswadi alcove,,0,1,2024-07-06,11,Saturday,5,True,7,July,27,Daytime,chikkagubbi village → horamavu banaswadi alcove,Long (7–15 km),Very Long (>60 min),,
cab economy,2024-08-01,14:58:16.542646,completed,HRBR Layout Terrace,Dasarahalli Quay,112,RD4559266573098093,19.88,668.25,15.86,684.11,Paytm,2024-08-01 14:58:16.542646,cab economy,hrbr layout terrace,dasarahalli quay,paytm,1,0,2024-08-01,14,Thursday,3,False,8,August,31,Daytime,hrbr layout terrace → dasarahalli quay,Very Long (>15 km),Very Long (>60 min),Medium-High Fare,34.41197183098592
cab economy,2024-07-22,01:09:16.542646,completed,JP Nagar 6th Block,Ganganagar Cut,88,RD1722345523604383,10.31,164.02,20.01,184.03,Amazon Pay,2024-07-22 01:09:16.542646,cab economy,jp nagar 6th block,ganganagar cut,amazon pay,1,0,2024-07-22,1,Monday,0,False,7,July,30,Late Night,jp nagar 6th block → ganganagar cut,Long (7–15 km),Very Long (>60 min),Low Fare,17.849660523763337
bike,2024-07-25,15:01:32.542646,completed,Bellandur Ridge,Devarachikkanahalli Heights,76,RD5941720751250248,33.64,811.76,14.11,825.87,Paytm,2024-07-25 15:01:32.542646,bike,bellandur ridge,devarachikkanahalli heights,paytm,1,0,2024-07-25,15,Thursday,3,False,7,July,30,Daytime,bellandur ridge → devarachikkanahalli heights,Very Long (>15 km),Very Long (>60 min),High Fare,24.55023781212842
auto,2024-08-12,15:44:06.542646,completed,Kudlu Gate Farms,Attibele Plaza,51,RD4046588375441329,3.33,399.65,49.05,448.7,Paytm,2024-08-12 15:44:06.542646,auto,kudlu gate farms,attibele plaza,paytm,1,0,2024-08-12,15,Monday,0,False,8,August,33,Daytime,kudlu gate farms → attibele plaza,Medium (3–7 km),Long (30–60 min),Medium-Low Fare,134.74474474474474
auto,2024-07-23,10:50:48.542646,completed,Rachenahalli Depot,Madiwala Cut,68,RD7350321719400471,49.83,959.99,7.62,967.61,Amazon Pay,2024-07-23 10:50:48.542646,auto,rachenahalli depot,madiwala cut,amazon pay,1,0,2024-07-23,10,Tuesday,1,False,7,July,30,Daytime,rachenahalli depot → madiwala cut,Very Long (>15 km),Very Long (>60 min),High Fare,19.418221954645798
auto,2024-08-10,21:19:50.542646,completed,Dooravani Nagar Station,Avalahalli Cove,48,RD4144498193705965,16.61,105.99,4.11,110.1,GPay,2024-08-10 21:19:50.542646,auto,dooravani nagar station,avalahalli cove,gpay,1,0,2024-08-10,21,Saturday,5,True,8,August,32,Night,dooravani nagar station → avalahalli cove,Very Long (>15 km),Long (30–60 min),Low Fare,6.628537025888019
parcel,2024-07-28,17:55:30.542646,completed,Ramnagar Crescent,Jayanagar Pier,53,RD9772479317279932,41.25,221.95,21.74,243.69,Amazon Pay,2024-07-28 17:55:30.542646,parcel,ramnagar crescent,jayanagar pier,amazon pay,1,0,2024-07-28,17,Sunday,6,True,7,July,30,Evening Peak,ramnagar crescent → jayanagar pier,Very Long (>15 km),Long (30–60 min),Low Fare,5.907636363636364
auto,2024-07-23,16:28:51.542646,completed,Mahadevapura 2nd Block,Chikkalasandra Pass,91,RD7577082038350614,49.17,177.7,38.45,216.15,Paytm,2024-07-23 16:28:51.542646,auto,mahadevapura 2nd block,chikkalasandra pass,paytm,1,0,2024-07-23,16,Tuesday,1,False,7,July,30,Evening Peak,mahadevapura 2nd block → chikkalasandra pass,Very Long (>15 km),Very Long (>60 min),Low Fare,4.395973154362416
bike lite,2024-07-08,04:44:56.542646,completed,Bhuvaneshwari Nagar Trail,Chandra Layout Alley,83,RD6340674467746910,45.44,808.37,22.93,831.3,Paytm,2024-07-08 04:44:56.542646,bike lite,bhuvaneshwari nagar trail,chandra layout alley,paytm,1,0,2024-07-08,4,Monday,0,False,7,July,28,Late Night,bhuvaneshwari nagar trail → chandra layout alley,Very Long (>15 km),Very Long (>60 min),High Fare,18.294454225352112
cab economy,2024-07-23,16:31:17.542646,completed,Doddaballapur District,Sarjapur Farms,28,RD2235816582429647,17.52,485.28,9.32,494.6,QR scan,2024-07-23 16:31:17.542646,cab economy,doddaballapur district,sarjapur farms,qr scan,1,0,2024-07-23,16,Tuesday,1,False,7,July,30,Evening Peak,doddaballapur district → sarjapur farms,Very Long (>15 km),Medium (15–30 min),Medium-Low Fare,28.230593607305938
auto,2024-06-24,07:24:54.542646,completed,Chikkajala Quarry,JP Nagar Trail,95,RD1217475833620683,21.4,421.35,38.34,459.69000000000005,Paytm,2024-06-24 07:24:54.542646,auto,chikkajala quarry,jp nagar trail,paytm,1,0,2024-06-24,7,Monday,0,False,6,June,26,Morning Peak,chikkajala quarry → jp nagar trail,Very Long (>15 km),Very Long (>60 min),Medium-Low Fare,21.48084112149533
bike,2024-07-22,22:37:33.542646,completed,Whitefield District,Devarachikkanahalli Esplanade,82,RD8131157570752979,41.72,449.51,17.19,466.7,Paytm,2024-07-22 22:37:33.542646,bike,whitefield district,devarachikkanahalli esplanade,paytm,1,0,2024-07-22,22,Monday,0,False,7,July,30,Night,whitefield district → devarachikkanahalli esplanade,Very Long (>15 km),Very Long (>60 min),Medium-Low Fare,11.186481303930968
auto,2024-06-26,08:16:18.542646,completed,Banashankari Viewpoint,Bellandur Outer Ring Road Village,34,RD2539243082211667,36.47,82.59,37.1,119.69,Amazon Pay,2024-06-26 08:16:18.542646,auto,banashankari viewpoint,bellandur outer ring road village,amazon pay,1,0,2024-06-26,8,Wednesday,2,False,6,June,26,Morning Peak,banashankari viewpoint → bellandur outer ring road village,Very Long (>15 km),Long (30–60 min),Low Fare,3.2818755141211957
auto,2024-08-06,21:18:28.542646,completed,Sarjapur Quarry,Kengeri Close,29,RD1555077673954099,15.18,184.47,31.56,216.03,GPay,2024-08-06 21:18:28.542646,auto,sarjapur quarry,kengeri close,gpay,1,0,2024-08-06,21,Tuesday,1,False,8,August,32,Night,sarjapur quarry → kengeri close,Very Long (>15 km),Medium (15–30 min),Low Fare,14.231225296442688
bike,2024-07-27,05:56:36.542646,cancelled,Munnekollal Square,Koramangala 7th Block Landing,15,RD9106570890666222,25.6,,,,,2024-07-27 05:56:36.542646,bike,munnekollal square,koramangala 7th block landing,,0,1,2024-07-27,5,Saturday,5,True,7,July,30,Late Night,munnekollal square → koramangala 7th block landing,Very Long (>15 km),Short (≤15 min),,
bike,2024-06-23,13:01:37.542646,completed,Koramangala 8th Block Court,Whitefield Yard,58,RD3499114958541606,28.83,387.96,34.13,422.09,QR scan,2024-06-23 13:01:37.542646,bike,koramangala 8th block court,whitefield yard,qr scan,1,0,2024-06-23,13,Sunday,6,True,6,June,25,Daytime,koramangala 8th block court → whitefield yard,Very Long (>15 km),Long (30–60 min),Medium-Low Fare,14.640652098508498
bike lite,2024-06-28,12:34:51.542646,completed,Kudlu Gate Cove,Hulimavu Fields,93,RD5465696192903363,44.43,314.92,17.6,332.52000000000004,Amazon Pay,2024-06-28 12:34:51.542646,bike lite,kudlu gate cove,hulimavu fields,amazon pay,1,0,2024-06-28,12,Friday,4,False,6,June,26,Daytime,kudlu gate cove → hulimavu fields,Very Long (>15 km),Very Long (>60 min),Medium-Low Fare,7.4841323430114794
bike lite,2024-08-04,12:14:32.542646,completed,Jakkur View,Koramangala 4th Stage,114,RD4518928319915400,49.64,448.98,38.46,487.44,GPay,2024-08-04 12:14:32.542646,bike lite,jakkur view,koramangala 4th stage,gpay,1,0,2024-08-04,12,Sunday,6,True,8,August,31,Daytime,jakkur view → koramangala 4th stage,Very Long (>15 km),Very Long (>60 min),Medium-Low Fare,9.819500402900886
cab economy,2024-08-02,08:56:58.542646,completed,Nayandahalli Meadows,Horamavu Zone,107,RD2000076619721455,48.49,691.02,28.65,719.67,Amazon Pay,2024-08-02 08:56:58.542646,cab economy,nayandahalli meadows,horamavu zone,amazon pay,1,0,2024-08-02,8,Friday,4,False,8,August,31,Morning Peak,nayandahalli meadows → horamavu zone,Very Long (>15 km),Very Long (>60 min),Medium-High Fare,14.841616828212
cab economy,2024-07-07,05:18:40.542646,completed,Bommanahalli Plaza,Basavanagudi Pointe,56,RD6532816509887593,7.64,419.65,37.16,456.81,GPay,2024-07-07 05:18:40.542646,cab economy,bommanahalli plaza,basavanagudi pointe,gpay,1,0,2024-07-07,5,Sunday,6,True,7,July,27,Late Night,bommanahalli plaza → basavanagudi pointe,Long (7–15 km),Long (30–60 min),Medium-Low Fare,59.79188481675393
parcel,2024-07-04,17:55:31.542646,completed,Harohalli Fields,Sanjay Nagar District,38,RD1904744635291394,16.27,381.23,47.65,428.88,Amazon Pay,2024-07-04 17:55:31.542646,parcel,harohalli fields,sanjay nagar district,amazon pay,1,0,2024-07-04,17,Thursday,3,False,7,July,27,Evening Peak,harohalli fields → sanjay nagar district,Very Long (>15 km),Long (30–60 min),Medium-Low Fare,26.360172095881993
bike,2024-07-23,17:59:05.542646,completed,Jayanagar Village,Hennur Farms,13,RD8085277544074809,19.98,195.8,6.89,202.69,GPay,2024-07-23 17:59:05.542646,bike,jayanagar village,hennur farms,gpay,1,0,2024-07-23,17,Tuesday,1,False,7,July,30,Evening Peak,jayanagar village → hennur farms,Very Long (>15 km),Short (≤15 min),Low Fare,10.144644644644645
bike,2024-08-13,01:07:33.542646,completed,Nagawara Nagar,Chikkalasandra 4th Stage,14,RD8540894002304472,14.15,147.64,24.65,172.29,Amazon Pay,2024-08-13 01:07:33.542646,bike,nagawara nagar,chikkalasandra 4th stage,amazon pay,1,0,2024-08-13,1,Tuesday,1,False,8,August,33,Late Night,nagawara nagar → chikkalasandra 4th stage,Long (7–15 km),Short (≤15 min),Low Fare,12.175971731448762
bike,2024-06-24,08:16:15.542646,completed,Hosur Fork,Bommanahalli Passage,117,RD9207429821660459,18.06,925.96,31.0,956.96,GPay,2024-06-24 08:16:15.542646,bike,hosur fork,bommanahalli passage,gpay,1,0,2024-06-24,8,Monday,0,False,6,June,26,Morning Peak,hosur fork → bommanahalli passage,Very Long (>15 km),Very Long (>60 min),High Fare,52.98781838316722
auto,2024-08-06,23:49:54.542646,cancelled,Bikasipura Cut,Chikkagubbi 2nd Stage,68,RD8572097109759067,22.79,,,,,2024-08-06 23:49:54.542646,auto,bikasipura cut,chikkagubbi 2nd stage,,0,1,2024-08-06,23,Tuesday,1,False,8,August,32,Night,bikasipura cut → chikkagubbi 2nd stage,Very Long (>15 km),Very Long (>60 min),,
bike,2024-08-01,06:16:57.542646,completed,Marathahalli Pointe,Agara Drive,118,RD7335910948713877,41.25,476.62,7.8,484.42,QR scan,2024-08-01 06:16:57.542646,bike,marathahalli pointe,agara drive,qr scan,1,0,2024-08-01,6,Thursday,3,False,8,August,31,Morning Peak,marathahalli pointe → agara drive,Very Long (>15 km),Very Long (>60 min),Medium-Low Fare,11.743515151515151
cab economy,2024-07-26,21:45:48.542646,completed,Kudlu District,Bikasipura Trail,75,RD2580649401514739,27.42,954.78,36.66,991.44,QR scan,2024-07-26 21:45:48.542646,cab economy,kudlu district,bikasipura trail,qr scan,1,0,2024-07-26,21,Friday,4,False,7,July,30,Night,kudlu district → bikasipura trail,Very Long (>15 km),Very Long (>60 min),High Fare,36.157549234135665
bike,2024-08-03,15:25:44.542646,completed,Agara Plaza,HSR Layout Passage,23,RD0651284665872375,21.09,740.82,28.07,768.8900000000001,Amazon Pay,2024-08-03 15:25:44.542646,bike,agara plaza,hsr layout passage,amazon pay,1,0,2024-08-03,15,Saturday,5,True,8,August,31,Daytime,agara plaza → hsr layout passage,Very Long (>15 km),Medium (15–30 min),Medium-High Fare,36.457562825983885
bike,2024-06-30,00:38:35.542646,completed,Anekal Landing,Srirampura Esplanade,115,RD3822808658086783,12.07,708.14,44.5,752.64,GPay,2024-06-30 00:38:35.542646,bike,anekal landing,srirampura esplanade,gpay,1,0,2024-06-30,0,Sunday,6,True,6,June,26,Late Night,anekal landing → srirampura esplanade,Long (7–15 km),Very Long (>60 min),Medium-High Fare,62.35625517812759
bike,2024-07-26,23:36:26.542646,completed,Dodda Banaswadi Mews,Chikka Banaswadi 6th Stage,51,RD6039948836070685,1.92,611.42,24.19,635.61,Paytm,2024-07-26 23:36:26.542646,bike,dodda banaswadi mews,chikka banaswadi 6th stage,paytm,1,0,2024-07-26,23,Friday,4,False,7,July,30,Night,dodda banaswadi mews → chikka banaswadi 6th stage,Short (≤3 km),Long (30–60 min),Medium-High Fare,331.046875
auto,2024-06-21,04:15:28.542646,completed,Doddaballapur Place,Sanjay Nagar Depot,43,RD6747610061454649,5.93,475.93,14.45,490.38,Paytm,2024-06-21 04:15:28.542646,auto,doddaballapur place,sanjay nagar depot,paytm,1,0,2024-06-21,4,Friday,4,False,6,June,25,Late Night,doddaballapur place → sanjay nagar depot,Medium (3–7 km),Long (30–60 min),Medium-Low Fare,82.6947723440135
bike,2024-06-21,23:22:09.542646,completed,Rachenahalli Park,Bommanahalli Works,60,RD6604285364799195,11.96,726.12,11.37,737.49,Amazon Pay,2024-06-21 23:22:09.542646,bike,rachenahalli park,bommanahalli works,amazon pay,1,0,2024-06-21,23,Friday,4,False,6,June,25,Night,rachenahalli park → bommanahalli works,Long (7–15 km),Long (30–60 min),Medium-High Fare,61.66304347826087
bike,2024-08-16,18:21:03.542646,completed,Hosur Sarjapur Road Layout Place,Jakkasandra Run,20,RD7897341429308841,43.53,70.97,48.15,119.12,GPay,2024-08-16 18:21:03.542646,bike,hosur sarjapur road layout place,jakkasandra run,gpay,1,0,2024-08-16,18,Friday,4,False,8,August,33,Evening Peak,hosur sarjapur road layout place → jakkasandra run,Very Long (>15 km),Medium (15–30 min),Low Fare,2.7365035607626926
bike lite,2024-06-17,23:29:00.542646,completed,Banashankari Harbor,Shivaji Nagar Station,55,RD8953828714822704,13.1,225.49,4.68,230.17,Amazon Pay,2024-06-17 23:29:00.542646,bike lite,banashankari harbor,shivaji nagar station,amazon pay,1,0,2024-06-17,23,Monday,0,False,6,June,25,Night,banashankari harbor → shivaji nagar station,Long (7–15 km),Long (30–60 min),Low Fare,17.570229007633586
auto,2024-06-21,16:36:00.542646,completed,Kadubeesanahalli Commons,Ulsoor District,18,RD7708304567842163,31.67,684.15,19.18,703.3299999999999,Amazon Pay,2024-06-21 16:36:00.542646,auto,kadubeesanahalli commons,ulsoor district,amazon pay,1,0,2024-06-21,16,Friday,4,False,6,June,25,Evening Peak,kadubeesanahalli commons → ulsoor district,Very Long (>15 km),Medium (15–30 min),Medium-High Fare,22.20808335964635
